Symbol,Name,FCF_z,PBR_z,PER_z,ROA_z,ROE_z,ROIC_z,매출총이익률_z,영업이익률_z,총자산회전율_z,CFO_NI_z,Accruals_z,SalesGrowth_z,EBITGrowth_z,부채비율_z,이자보상배율_z,NIGrowth_z,SalesCAGR3Y_z,EV_EBITDA_z,유동비율_z,FinalScore
A008890,보람은행,,,,,,,3.7417205220027516,-0.8715320214936443,,,0.21455716541317663,,,,,,,,,1.0282485553074279
A003350,한국화장품제조,,-0.1961268189066642,-0.4388209526064686,2.694748003706011,2.5525546494915705,2.4065545545772524,3.3445870951715855,2.4616225648196224,-0.14041669181538222,-0.04908093209630093,0.043993238522346344,0.9935895145336994,0.17662953057428776,-0.7241636179744207,1.705543060633375,-0.11855873880710066,,-0.658735209497724,0.20134667556307098,0.8385450544640447
A002610,LGEI,,4.745374481224658,3.0999069021618246,0.9133558778273426,1.3550362273855883,1.0278987690091197,0.06796834041633122,0.4789471084981898,0.5420800229429341,-0.02540601357444027,0.3037200947279371,0.6379118382998406,-0.2111477625666694,0.096324811011133,0.33652639262411155,0.3346311565728364,,-0.32924259449026794,-0.11373211687208734,0.7800090314822578
A001800,오리온홀딩스,,-0.41438720397088513,-1.2701366029708225,3.8427461342572347,3.204570004805232,1.0,-0.38560344179902123,0.4862434297366138,3.554344580342847,-0.27161862403096626,0.20599728556836272,,0.0,-1.5967491232506308,0.9999999999999999,1.7261081807150285,,-1.0000000000000002,0.333333333333333,0.6509279970460202
A005250,녹십자홀딩스,,-0.05410454749205528,-0.47146860573859345,2.069803695203373,1.0149375768037243,1.0696010112862477,2.4361351030017855,2.1578539209524386,-0.26379880677260475,-0.19206898597909183,0.44861984400904387,0.3581923015182017,0.4407322138554861,-1.228286250793638,1.695595376161302,0.01423114379857834,,-0.5722922664021478,1.8033950025860521,0.6310045721175355
A004010,롯데미도파,,1.371758976346772,0.3333333333333333,0.8668166244753411,1.0538672123490256,0.8042001585432955,1.3210488868803487,-0.009640966057408384,0.6933839585550274,0.14997214455547725,0.28826846719564775,0.025110486325182646,0.27439457189643485,1.1962333851277218,1.1084930163875748,0.8081297584371208,,0.2442711607158733,-0.544121892807794,0.5873834871917043
A000570,금호건설,,-0.7260223585607393,-0.992898514532623,2.3482619448732827,1.2857915427613362,3.483430664140207,3.3490872993924206,3.2434588362276773,-0.7822969430670728,0.7347718680301523,-0.4236494131044175,-0.33787709706302915,0.3046630985187477,-0.8983646552942091,1.0542335296966214,0.4523759397616261,,-1.0693286061219898,-1.5021973041525463,0.560202343029732
A008750,범양식품,,-0.322481891583908,-0.4932437612994147,1.6432981443193162,0.8897380957052002,1.9312109252354785,0.7043088060068231,0.5545764616114842,1.4425223715424635,-0.3553538782876895,0.623941779334548,1.1472386756155961,0.4268249738027286,-0.66611526421991,1.9024984011367387,0.44597219846953406,,-0.6732340752171172,-0.07626776666183883,0.5367902467947079
A003690,코리안리,,0.5198181713456068,0.16270362022061305,0.28821341484772617,0.5261578976211065,,1.4776686857126506,-0.33867682792322434,0.8849663019216158,,-0.09537879162205022,-1.0686666267131952,,2.9722867658695873,,0.4828019985853449,,,,0.5283540554423438
A005680,삼영전자,,-0.6282577984573509,-1.120812105885933,2.402393411423192,1.6792928058371133,2.2999725241550966,0.8323853802712646,1.9437959488802914,0.2994781683038616,0.14801734232990685,-0.04113668978598203,-0.3271447659795315,0.13362915962138128,-1.1254907710832105,2.88521410544746,-0.056830730569520385,,-0.5130735840413521,0.001654371280622402,0.5184168689263123
