Symbol,Name,산업분류(중분류),cheap_mean_3y,MarketPriceProxy,Base_intrinsic,undervaluation_base,Conservative,Base,Optimistic,undervaluation_Conservative,undervaluation_Base,undervaluation_Optimistic,robust_score,final_score
A042820,어울림 네트,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,0.0004435049353386565,0.0061666689450384,12.904397569622502,0.0053560411904705,0.0059356409952516,0.0066363947156373,11.076621394034035,12.383483524753103,13.9635194263843,,3.87131927088675
A900270,헝셩그룹,전문 서비스업,0.6027318979775185,0.022762819449192388,0.1121706050448544,3.927799269120599,0.1007181572150863,0.1121605946184672,0.1259577676079141,3.424678473591272,3.9273594981858277,4.533487092363816,,1.479705729724939
A037540,네스테크,"의료, 정밀, 광학기기 및 시계 제조업",,0.0032340472977695103,0.0181715229434719,4.618817930091689,0.0165012253933391,0.0181574247175538,0.0200441751539235,4.1023451032147324,4.614458616630867,5.1978608561933415,,1.3856453790275067
A900300,오가닉티코스메틱,전문 서비스업,0.8088218699521356,0.012639848581579906,0.0471258871574208,2.728358520536196,0.0423747264987403,0.0471324456262085,0.0528402486913438,2.3524710541622413,2.728877392953486,3.1804495006647526,,1.2229184911369266
A138690,엘아이에스,기타 기계 및 장비 제조업,0.5507993569065999,0.015725872498649603,0.0646057432247627,3.10824539180961,0.0593409712361324,0.0646057432247627,0.0704546983019027,2.773461297058594,3.10824539180961,3.480177383350444,,1.2078732959961829
A001230,동국홀딩스,전문 서비스업,0.7865481096085919,0.9500865490754551,2.9950212070146085,2.1523667079900384,2.711461708495995,2.997822266675402,3.328650589774281,1.8539102160056506,2.1553149232484476,2.5035235400537412,,1.0389840672013075
A016610,DB증권,금융 및 보험 관련 서비스업,0.9170360568074432,0.4426761988938659,1.102833015630747,1.4912859972739523,0.9913198880106672,1.1021818194376554,1.237809039180977,1.239379235856188,1.4898149532134877,1.7961951473197426,0.5,1.0059038275859074
A015540,에코바이브,사업지원 서비스업,0.8916666666666666,0.006946397284760295,0.0172449289176127,1.4825716426335647,0.0160899676531812,0.017462617465409,0.0189793025114226,1.3163039765204605,1.5139099808932963,1.7322512279943014,,0.8906048261234027
A000540,흥국화재,보험업,0.8645454545454545,0.3194110958772012,0.7567526203117095,1.3692120595667912,0.6608961352229902,0.7284487941048429,0.811161632760684,1.069108255015268,1.2805995267769212,1.5395537075284893,,0.8430363451427646
A088350,한화생명,보험업,0.7329924242424242,0.3206217284515297,0.801533193153037,1.4999341031068316,0.7202376954715517,0.8021657252572602,0.9007443023527842,1.2463783067666743,1.5019069329187036,1.8093676205384037,,0.8164764430532616
A900280,골든센츄리,전문 서비스업,0.7005491821000428,0.013671765924422668,0.034662900828058,1.5353638308082536,0.0310918026428702,0.034301232395462,0.0379991300058034,1.2741614225071767,1.5089101572597667,1.7793871117939015,,0.8108837402924974
A004960,한신공영,종합 건설업,0.6486068939771029,0.7158871620163669,1.8317307596469703,1.5586864199208708,1.7053202460646604,1.8372787917910511,1.9860979431189367,1.3821075953666462,1.5664362895070973,1.7743170271763158,,0.7919093729648127
A377740,바이오노트,의료용 물질 및 의약품 제조업,0.8801537876589105,0.4270468570128946,0.8889172730788635,1.0815450540876426,0.8106948464131076,0.8889098150238881,0.9771497086422888,0.8983744596172707,1.081527589833187,1.2881557201409963,,0.764540410055748
A071840,롯데하이마트,소매업; 자동차 제외,0.6938325233816248,1.0058847252156318,2.268777764592355,1.255504738980897,2.0355216221388663,2.2663235894338065,2.5461346583014905,1.0236132144292291,1.2530649214779301,1.5312390122592578,,0.7235676833850815
A082640,동양생명,보험업,0.6441017316017317,0.44967723929147124,1.017531942283194,1.262805081899312,0.9252113818121892,1.017865534626305,1.1232971666427911,1.0575010273368246,1.2635469303051519,1.4980076118878096,,0.7008923903706594
A004870,티웨이홀딩스,비금속 광물제품 제조업,0.7632324632324633,0.04626775153487185,0.0911278819409637,0.9695766255743143,0.0835840222403692,0.0911278819409637,0.0995310813188925,0.8065287261122296,0.9695766255743143,1.151197713679176,,0.6724892192885259
A001750,한양증권,금융 및 보험 관련 서비스업,0.9550341393102892,0.9618938910768003,1.246982110660647,0.2963821916622238,1.1223923283332775,1.22852540736943,1.356457314315513,0.16685669671610648,0.2771943129757761,0.4101943331784914,0.46,0.6584317271538117
A078020,LS증권,금융 및 보험 관련 서비스업,0.8636866006951217,0.4888500557611932,0.8276759480115818,0.6931080159596166,0.7444866191666567,0.8272663287376699,0.92503618808293,0.5229345080208885,0.6922700917964004,0.8922697812574596,,0.6397757051354458
A111870,KH 미래물산,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.9280688387882803,0.42039335957370844,0.567107928031387,0.34899354406180816,0.5154683359969882,0.5722939553340164,0.6388303843690443,0.22615717936098845,0.36132967446093756,0.5196015108726684,0.3,0.6287324826126826
A900310,컬러레이,금융업,0.6969408559162608,0.08913585705961001,0.1692050461191913,0.8982825958136538,0.1520448736264424,0.1693373153731278,0.1902473342040074,0.705765543094085,0.8997665020473489,1.1343524422138964,,0.6179552067022265
