Symbol,Name,산업분류(중분류),cheap_mean_3y,MarketPriceProxy,Base_intrinsic,undervaluation_base,Conservative,Base,Optimistic,undervaluation_Conservative,undervaluation_Base,undervaluation_Optimistic,robust_score,final_score
A136410,아셈스,고무 및 플라스틱제품 제조업,0.28120450581604856,0.6841086951658663,-0.6275920370326739,-1.9173864350320975,-0.2536505459227829,-0.624385380053357,-1.3390872044751172,-1.370775211183778,-1.912699084904879,-2.957418775609112,,-0.43461367760160496
A004000,롯데정밀화학,화학물질 및 화학제품 제조업; 의약품 제외,0.7641266480462149,5.819556851835425,-10.034787785803069,-2.724321635012158,-4.2158110842395935,-10.378069839134104,-22.260733291153453,-1.724421324780077,-2.783309297143643,-4.825159519514387,,-0.43523316648053995
A000220,유유제약,의료용 물질 및 의약품 제조업,0.5101337441213991,0.621832083162397,-0.8094272563249097,-2.3016813995966183,-0.3324486072401895,-0.8133939252145516,-1.7447939438163094,-1.5346276209318193,-2.308060402863013,-3.8058924443765645,,-0.4354375478182859
A092040,아미코젠,식료품 제조업,0.027466588264331997,0.9166128148397259,-0.4565507389988786,-1.498084612834819,-0.1896441507167517,-0.4633843789800806,-0.9941162477138216,-1.2068966827066583,-1.505539930795213,-2.0845541668404968,,-0.4356920897182797
A097230,HJ중공업,종합 건설업,0.44724427575908415,0.44198996953212966,-0.530467207230986,-2.200179288666922,-0.2004470629461665,-0.4866988132312475,-1.0444070989547596,-1.4535104340905078,-2.101153525602503,-3.3629656122294382,,-0.4364316487205344
A006340,대원전선,전기장비 제조업,0.5021190705418384,0.11987817605180257,-0.1550231423453774,-2.293172347553801,-0.0628424754176266,-0.1550231423453774,-0.3324265215494302,-1.5242194825392628,-2.293172347553801,-3.7730361980631053,,-0.4368921689952211
A089980,상아프론테크,고무 및 플라스틱제품 제조업,0.09275267974102597,2.1852670312894866,-1.335370208627036,-1.61107873294508,-0.5483428387905498,-1.3510136812213098,-2.897741055644891,-1.2509271548690242,-1.618237342108301,-2.326035223226237,,-0.436947280013011
A033250,체시스,자동차 및 트레일러 제조업,0.38949370822106,0.09964144183461945,-0.1102487074901338,-2.10645435734581,-0.0449560664916903,-0.1102487074901338,-0.2364784238286088,-1.4511784019174114,-2.10645435734581,-3.3732938772715215,,-0.43718945309321305
A019990,에너토크,기타 기계 및 장비 제조업,0.18677567960275251,0.6054144499725949,-0.4667731141748408,-1.7709976433432835,-0.1895426199828639,-0.4657267444634221,-0.9988894582993354,-1.3130791146320406,-1.769269290623149,-2.649926687981352,,-0.4379114532016088
A024070,WISCOM,고무 및 플라스틱제품 제조업,0.4479657360767238,0.260520152579985,-0.3143329916883389,-2.206559218453675,-0.1328244688130508,-0.3158980134584521,-0.9148278805812208,-1.5098433556777184,-2.2125665148359874,-4.5115436234835995,,-0.4379848974977406
