Symbol,Name,FCF_z,PBR_z,PER_z,ROA_z,ROE_z,ROIC_z,매출총이익률_z,영업이익률_z,총자산회전율_z,CFO_NI_z,Accruals_z,SalesGrowth_z,EBITGrowth_z,부채비율_z,이자보상배율_z,NIGrowth_z,SalesCAGR3Y_z,EV_EBITDA_z,유동비율_z,F_Score_z,FinalScore
A000010,신한은행,,,,-0.19456306480601016,0.13825303237736788,,-0.3707934908404842,0.1154531261039945,-0.660078733581578,0.5590550043867861,-2.037325531546682,0.34155820974202084,,1.7147991857923328,,0.02591392460600014,0.021815341384519755,,,1.120701522626811,0.06456571052042326
A000020,동화약품,,-0.6224084570985673,-0.23835660784335402,0.3702106273381756,0.3642408446349661,0.1885339121829779,0.3996707914016566,0.13378101344618568,0.5490572554000388,0.1120983141290907,0.019860267275401466,-0.07841251847451129,0.06163678019338243,-0.517026907599534,-0.15830126305847012,0.0894707039700846,,0.03387672908078905,-0.15020105997525102,0.7339023775412431,0.07175737791912801
A000030,우리은행,,,,-0.1950541630471507,0.18951274111939795,,-0.5003123638335927,0.11011782776305867,-0.6020482930174565,0.9702257015613857,-3.4159284922916373,0.3560650050613762,,1.9728875489077256,,-0.007608275823792657,0.018190509310959002,,,1.3027981614221629,0.01657049226103635
A000040,KR모터스,,-0.11082915890561675,,-0.1000590687534324,-0.10593922412224693,0.029426283839747266,-0.019677068589293783,0.1713203177353598,0.14467309037803489,-0.015173890207419107,0.12643507733342732,-1.0309217306384066,-0.10939571253736792,0.3649817540886547,,0.013008754934464647,-0.5129775854479796,0.6940708331489441,-0.5434972028660158,-1.0719064705481314,-0.1221447647739575
A000050,경방,,-0.5145555756273553,0.756705300844869,0.01114808705663529,0.07468731437740407,1.0592111130971569,-0.36419171761397867,0.3016196303249674,-0.8242456861637524,0.006180305616944788,0.1282415250423877,-0.13948868111218377,0.2736643117141393,-0.4316928929427197,-0.2421728528972267,-0.19891986699553185,-0.19295051582942105,-0.03338465909726577,-0.5129879966196352,0.7561261593493308,-0.004579299867117651
A000060,메리츠화재,,3.04769689225003,0.4012114547283388,1.4627290781450168,2.9654517140717296,,0.5715071305422535,1.1364858687242736,0.5021190169872627,0.05970480174867756,-1.6818307465158773,0.7033037023270295,,0.422252680687547,,0.24096272264470806,1.108424618034614,,,-0.1314325028437448,0.7720418879665614
A000070,삼양홀딩스,,-0.5021014845520865,-0.350984719444913,0.03395782619535953,0.06948733338328457,-0.20635692891493218,-0.6114149800003182,-0.06679089785299842,0.05282124471370899,-0.03354819128208127,-0.004416238556051999,-0.2296800209208676,0.06067259492105045,-0.15929287860234226,-0.1726358943827534,0.09126351643873538,-0.10790103794611718,-0.008809370962647537,-0.2202815711815295,0.5276639795518862,-0.09675514312608495
A000080,하이트진로,-0.22940239964529804,0.5216725240323092,1.1535812012558724,0.042416733050969026,0.268762492355693,0.22632569819091755,0.7026257272324985,0.12871586598577822,0.45204088213584354,1.1308350220642291,-0.9988456493820874,-0.27487427416175664,-0.10006835670909643,1.0738455544690642,-0.486902668793517,0.15981471921040222,0.030386602010297043,0.0031598327791442873,-0.6514622308171059,0.41469330474385807,0.17836602900040074
A000100,유한양행,-0.09576137214569284,-0.3115250446362864,-0.14945203491586148,0.3424373096433875,0.3455372261399993,0.16467941604222777,-0.3384708113043864,0.13317283717174092,0.5388610085835398,0.058676133605954285,0.027177829671220993,-0.07851841526883983,0.04148008208613126,-0.5218802309309699,-0.22242524672346456,0.08155030764535041,,0.08934036103817751,-0.19670681519955927,-0.23460167777843433,-0.0171804809092508
A000110,제일은행,,,,-0.22009413678662848,-0.11649466578367422,,-0.24135993951998436,0.105471962767548,-0.7147330909117113,-2.8227404905546876,0.4968904287677285,0.40776039538359404,,2.02550589337284,,0.006909749927889609,0.050154150863034874,,,0.3800710300022377,-0.05355489270598446
A000120,CJ대한통운,1.0,-0.2163358093262856,1.2561825061305674,0.3081472294375218,0.37718935952112737,0.33931042363118386,0.8361266837320294,0.6196601166398015,0.524421227459972,1.0118253536997877,-2.6883848623777156,-0.14024625089016063,0.38506479195715543,0.010931095387091893,-0.11440476214631891,-0.009469986778687082,0.07731204166637477,-0.0047097829505379175,0.28829640134251905,1.0618837810038648,0.24613997785696456
A000140,하이트진로홀딩스,,-0.4985567454501609,1.1732763304024056,-0.2842521750279949,-0.145404980459479,-0.3092465436710507,0.23018264028170843,-0.009157900100715405,-0.2705247719154484,-0.18619190053944326,-0.1777378411688418,-0.14947256404738157,0.04424925127273893,2.1534018477348504,-0.17395820613096036,-0.015116342188912132,-0.1825413500931506,-0.04364033133957893,-0.5661775177212199,0.37143961653738566,0.05055634296709217
A000150,두산,,0.16122915922174333,-0.23093878922834654,-0.4387056588454818,-0.44746154928198045,-0.2458075749991824,-0.6731139440101556,-0.0743467589358629,-0.24648075360025098,-0.3954782318331033,0.20903866422694037,0.08733779387032226,-0.3271070107836768,0.9925143698428361,-0.17275056622105148,-0.24401198886509093,-0.513790885034478,-0.0024080607172964528,-0.4620356327383622,0.49411110424440247,-0.13316875335200395
A000180,성창기업지주,,-0.6388755260506183,0.20862390391507732,-0.5922368053923899,-0.6300352588860704,-0.4488282811907873,-0.853871971421707,-0.5284530124182834,-1.1588146497111103,-0.31928059399947695,-0.29051995051319685,-0.3766451003402366,0.02304661725024153,-0.7846763515964312,-0.1307970521286996,-0.13728037534821239,0.009445170102574368,-1.1392242101535108,-0.5226961470536147,-0.2939731163890799,-0.45289961638555426
